obs_id,site_id,site_match_confidence,meta_source,study_citation,location_name,lat,lon,country_continent,koppen_geiger,whittaker_biome,climate_class_paperdefined,forest_change_metric,forest_change_submetric,forest_change_value_type,forest_change_value_point,forest_change_value_min,forest_change_value_max,forest_change_value_sd,forest_change_unit,hydro_response_metric,hydro_response_value_type,hydro_response_value_point,hydro_response_value_min,hydro_response_value_max,hydro_response_value_sd,hydro_response_unit,method_analysis,method_forest_change_measurement,method_hydro_response_measurement,watershed_area_km2,precip_mm_yr,spatial_scale,notes_flags,figure_table_source
zhang2017_173,,,"Zhang et al., 2017","Harr, 1976,1979","HJ Andrew, OR #10",,,,,,,forest_cover_change,,point,-100,,,,%,runoff,point,24.2,,,,%,PWE,% cover change (source study),catchment water balance,0.09,2320,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_174,,,"Zhang et al., 2017","Harr, 1976,1979","HJ Andrew, OR #3",,,,,,,forest_cover_change,,point,-30,,,,%,runoff,point,22.1,,,,%,PWE,% cover change (source study),catchment water balance,1.01,2388,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_175,,,"Zhang et al., 2017","Harr, 1976,1979","HJ Andrew, OR #6",,,,,,,forest_cover_change,,point,-100,,,,%,runoff,point,32.9,,,,%,PWE,% cover change (source study),catchment water balance,0.13,2150,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_176,,,"Zhang et al., 2017","Harr, 1976,1979","HJ Andrew, OR #7",,,,,,,forest_cover_change,,point,-60,,,,%,runoff,point,18.6,,,,%,PWE,% cover change (source study),catchment water balance,0.21,2150,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_177,,,"Zhang et al., 2017","Robinson and Dupeyrat, 2005",Hore,,,,,,,forest_cover_change,,point,-29,,,,%,runoff,point,11.5,,,,%,PWE,% cover change (source study),catchment water balance,3.08,2500,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_178,,,"Zhang et al., 2017","Yan et al.,2014",Houzhai karst basin,,,,,,,forest_cover_change,,point,18.9,,,,%,runoff,point,0,,,,%,SH,% cover change (source study),catchment water balance,80.65,1314.6,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_179,,,"Zhang et al., 2017","Hornbeck et al.,1970","Hubbard Brook, N H, USA, WS2",,,,,,,forest_cover_change,,point,-100,,,,%,runoff,point,48.3,,,,%,PWE,% cover change (source study),catchment water balance,0.16,1219,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_180,,,"Zhang et al., 2017","Hornbeck,1975","Hubbard Brook, N H, USA, WS5",,,,,,,forest_cover_change,,point,-30,,,,%,runoff,point,70.4,,,,%,PWE,% cover change (source study),catchment water balance,0.35,1219,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_181,,,"Zhang et al., 2017","Beck et al.,2013",Inabon ´,,,,,,,forest_cover_change,,point,54.3,,,,%,runoff,point,-33.3,,,,%,HM,% cover change (source study),catchment water balance,24.5,1781,small,precip data source type (per Zhang appendix): MD,Appendix A Table A1
zhang2017_182,site_jackwood,exact,"Zhang et al., 2017","Cornish and Vertessy, 2001",Jackwood,-32.6,152.0,Oceania,Cfa,Temperate seasonal forest,,forest_cover_change,,point,-79,,,,%,runoff,point,69.1,,,,%,PWE,% cover change (source study),catchment water balance,0.125,1485,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #84, Jackwood) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
